Serial No.,ID,Province,Province PCode,District,District PCode,Tehsil,Tehsil PCode,Health Facility Name,Health Facility Code,Health Facility Type
1,1,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,BHU Shah Muhammad,322073,BHU 
2,2,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,BHU Bagra,322003,BHU 
3,3,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,BHU Gudwalian,322011,BHU 
4,4,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,BHU Koklian Piran,322022,BHU 
5,5,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,BHU Bandi Sher Khan,322002,BHU 
6,6,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,BHU Ghumawan,322012,BHU 
7,7,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,BHU Barkot,322004,BHU 
8,8,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,RHC Halli,322042,RHC 
9,9,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,BHU Beer,322005,BHU 
10,10,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,BHU Kakotri,322020,BHU 
11,11,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,BHU Muslimabad,322033,BHU 
12,12,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,CH Kotla,322040,CD 
13,13,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,BHU Khoi Narra,322021,BHU 
14,14,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,BHU Dheenda,322009,BHU 
15,15,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,BHU Dingi,322010,BHU 
16,16,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,CD Central Jail,322043,UD 
17,17,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,BHU Hattar,322014,BHU 
18,18,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,BHU Nullah,322032,BHU 
19,19,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,BHU Jattipind,322015,BHU 
20,20,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,BHU Kalinger,322017,BHU 
21,21,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,CD KTS No4,322048,CD 
22,22,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,CD KTS No3,322077,CD 
23,23,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,RHC Khanpur,322060,RHC 
24,24,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,RHC Kotnajibullah,322061,RHC 
25,25,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,CD Kot Najibullah,322072,CD 
26,26,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,BHU Kariplian,322019,BHU 
27,27,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,BHU Luder Mang,322025,BHU 
28,28,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,BHU Chaintry,322026,BHU 
29,29,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,BHU Mankarai,322027,BHU 
30,30,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,CD Pharraray,322046,CD 
31,31,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,BHU Dartian,322007,BHU 
32,32,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,BHU Najafpur,322031,BHU 
33,33,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,BHU Mirpur,322029,BHU 
34,34,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,BHU Kangra Colony,322018,BHU 
35,35,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,BHU Panian,322034,BHU 
36,36,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,BHU Jab,322016,BHU 
37,37,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,BHU Sarai Salah,322036,BHU 
38,38,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,RHC Sarai Naimat Khan,322062,RHC 
39,39,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,BHU Sikandrpur,322037,BHU 
40,40,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,BHU Mang,322030,BHU 
41,41,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Civil Hospital KTS,322055,CH 
42,42,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,BHU Tofkian,322038,BHU 
43,43,Khyber Pakhtunkhwa,3,Haripur,322,Ghazi,322002,BHU Brug,322006,BHU 
44,44,Khyber Pakhtunkhwa,3,Haripur,322,Ghazi,322002,BHU Gali Amazai,322013,BHU 
45,45,Khyber Pakhtunkhwa,3,Haripur,322,Ghazi,322002,BHU Bait Gali,322079,BHU 
46,46,Khyber Pakhtunkhwa,3,Haripur,322,Ghazi,322002,BHU Kaneerri,322084,BHU 
47,47,Khyber Pakhtunkhwa,3,Haripur,322,Ghazi,322002,RHC Ghazi,322059,RHC 
48,48,Khyber Pakhtunkhwa,3,Haripur,322,Ghazi,322002,CD Ghazi Hamlet,322041,CD 
49,49,Khyber Pakhtunkhwa,3,Haripur,322,Ghazi,322002,BHU Amgah,322001,BHU 
50,50,Khyber Pakhtunkhwa,3,Haripur,322,Ghazi,322002,BHU Kotehra,322023,BHU 
51,51,Khyber Pakhtunkhwa,3,Haripur,322,Ghazi,322002,BHU Kundi,322024,BHU 
52,52,Khyber Pakhtunkhwa,3,Haripur,322,Ghazi,322002,BHU Salamkhand,322035,BHU 
53,53,Khyber Pakhtunkhwa,3,Haripur,322,Ghazi,322002,RHC Nara Amazai,322085,RHC 
54,54,Khyber Pakhtunkhwa,3,Haripur,322,Ghazi,322002,RHC Sirikot,322063,RHC 
55,322,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Meher Ali,432065,CD
56,321,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Abdul Rasheed khoso,432064,CD
57,320,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Abdul Raouf,432063,CD
58,318,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Arz Muhammad Bugti,432061,CD
59,319,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Azam Khan Khoso,432062,CD
60,317,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Allah Waraya Khoso,432060,CD
61,316,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Naseebullah Khoso,432049,CD
62,315,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Baloo Pur,432045,CD
63,314,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Abdul Sattar,432042,CD
64,313,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Adil Bugti,432040,BHU
65,312,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Roshan Din Khoso,432039,BHU
66,311,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Sohbat Pur,432031,BHU
67,310,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Panhwar,432030,BHU
68,309,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Noor Muhammad Bugti,432029,BHU
69,308,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Murad Ali,432028,BHU
70,307,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Muhammad Ibrahim Gajani,432027,BHU
71,306,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Muhammad Amin Kandrani,432026,BHU
72,305,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Mehrab khan Nindwani,432025,BHU
73,304,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Malguzar,432024,BHU
74,303,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Jia Khan Khoso,432023,BHU
75,302,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Jhanda Talab,432022,BHU
76,301,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Dirghi,432021,BHU
77,300,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Ali Abad Golo,432020,BHU
78,299,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Adum Pur,432019,BHU
79,298,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Abdul Aziz Khoso,432018,BHU
80,296,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,MCH Centre,432082,MCH
81,295,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Piyara khan Umrani,432059,CD
82,294,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Peeralabad,432058,CD
83,293,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Khan Pur,432057,Cd
84,292,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Rustam Khan Jamali,432056,CD
85,291,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Haji Shabir Umrani,432055,CD
86,290,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Faizabad Jamali,432054,CD
87,289,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Chutta Khan Jamali,432053,CD
88,288,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Ali Hassan Jamali,432052,CD
89,287,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Noor Muhammad Jamali,432041,BHU
90,286,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Ghareebabad,432017,BHU
91,285,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Haji Allah Dina Rind,432016,BHU
92,284,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Ali Abad Jamali,432015,BHU
93,283,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,50 Beded Hospital,432009,Labour Hospital
94,282,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Civil Hospital,432008,Civil Hospital
95,12577,FATA,8,Khyber Agency,803,Landikotal,803001,BHU Kam Shalman,803031,BHU
96,12576,FATA,8,Khyber Agency,803,Landikotal,803001,BHU Torkham,803021,BHU
97,279,Balochistan,4,Jaffarabad,432,Gandakha,432002, Dr Taj Muhammad Jamali,432089,Health Auxillary
98,277,Balochistan,4,Jaffarabad,432,Gandakha,432002,Noshki Jadeed,432079,CD
99,278,Balochistan,4,Jaffarabad,432,Gandakha,432002,MCH Centre Kandri,432086,MCH
100,276,Balochistan,4,Jaffarabad,432,Gandakha,432002,Muhammad Hassan Brohi,432078,CD
101,275,Balochistan,4,Jaffarabad,432,Gandakha,432002,Meva Khan,432077,CD
102,274,Balochistan,4,Jaffarabad,432,Gandakha,432002,Keher Kot,432076,CD
103,273,Balochistan,4,Jaffarabad,432,Gandakha,432002,Muhammad Ibrahim Jamali,432075,BHU
104,272,Balochistan,4,Jaffarabad,432,Gandakha,432002,Kandri,432074,CD
105,271,Balochistan,4,Jaffarabad,432,Gandakha,432002,Ghulam Muhammad Jamali,432073,CD
106,270,Balochistan,4,Jaffarabad,432,Gandakha,432002,Sibi Jadeed,432038,BHU
107,269,Balochistan,4,Jaffarabad,432,Gandakha,432002,Monder Kot,432037,BHU
108,268,Balochistan,4,Jaffarabad,432,Gandakha,432002,Gandakha,432036,BHU
109,267,Balochistan,4,Jaffarabad,432,Gandakha,432002,Chowki Jamali,432035,BHU
110,266,Balochistan,4,Jaffarabad,432,Gandakha,432002,Bagh Tail,432034,BHU
111,265,Balochistan,4,Jaffarabad,432,Gandakha,432002,Bagh Head,432033,BHU
112,264,Balochistan,4,Jaffarabad,432,Gandakha,432002,Ahmedabad,432032,BHU
113,263,Balochistan,4,Jaffarabad,432,Jaffarabad,432001,MCH Centre,432080,MCH
114,262,Balochistan,4,Jaffarabad,432,Jaffarabad,432001,Zulfiqarabad,432051,CD
115,261,Balochistan,4,Jaffarabad,432,Jaffarabad,432001,Sikandar shakh,432050,CD
116,260,Balochistan,4,Jaffarabad,432,Jaffarabad,432001,Chalgri,432048,CD
117,259,Balochistan,4,Jaffarabad,432,Jaffarabad,432001,Hafeezabad,432047,CD
118,258,Balochistan,4,Jaffarabad,432,Jaffarabad,432001,Javed Khoso,432046,CD
119,257,Balochistan,4,Jaffarabad,432,Jaffarabad,432001,Bachal Brohi,432044,CD
120,256,Balochistan,4,Jaffarabad,432,Jaffarabad,432001,Muhammad Azeem Magsi,432043,CD
121,255,Balochistan,4,Jaffarabad,432,Jaffarabad,432001,BHU Taj Pur Jamali,432014,BHU
122,254,Balochistan,4,Jaffarabad,432,Jaffarabad,432001,BHU Noor Pur,432013,BHU
123,253,Balochistan,4,Jaffarabad,432,Jaffarabad,432001,BHU Goth Allah Yar,432012,BHU
124,252,Balochistan,4,Jaffarabad,432,Jaffarabad,432001,BHU Cattale Fram,432011,BHU
125,251,Balochistan,4,Jaffarabad,432,Jaffarabad,432001,RHC Rojhan Jamali,43210,RHC
126,249,Balochistan,4,Jaffarabad,432,Jaffarabad,432001,TB Clinic D.A.Yar,432007,TB Clinic
127,248,Balochistan,4,Jaffarabad,432,Jaffarabad,432001,DHQ Hospital D.A.Yar,432006,DHQ Hospital
128,12575,FATA,8,Khyber Agency,803,Landikotal,803001,CD Loi Shalman,803020,CD
129,247,Balochistan,4,Jaffarabad,432,Jaffarabad,432001,DHO H Office,432005,Admin
130,323,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Muhammad Ibrahim Khoso,432066,CD
131,324,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Hair din,432067,CD
132,325,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Jan Muhammad Khoso,432068,CD
133,326,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Khan Muhammad Khoso,432069,CD
134,327,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Manjhi Pur,432070,CD
135,328,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Naseer khan Khoso,432071,CD
136,329,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Noor Muhammad Jarwar,432072,CD
137,330,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Mir Hassan Khoso,432081,MCH
138,331,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Haji Jumal Bugti,432083,MCH
139,332,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Manjhi Pur,432084,MCH
140,333,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Rasool Bux Khoso,432085,MCH
141,334,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Hafiz Ahmed Jarwar,432087,Health Auxillary
142,335,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Sikander Jarwar,432088,Health Auxillary
143,8447,Punjab,1,Mianwali,830,Mianwali,2, THAMAYWALI,183033,BHU 
144,8446,Punjab,1,Mianwali,830,Mianwali,2, KALARI,183021,BHU 
145,8445,Punjab,1,Mianwali,830,Mianwali,2, CHAKRALA,183065,RHC 
146,836,Punjab,1,Bhakkar,181,Mankera,18103,Haiderabad,181031,BHU
147,835,Punjab,1,Bhakkar,181,Mankera,18103,Mahni,181033,BHU
148,834,Punjab,1,Bhakkar,181,Mankera,18103,Goharwala,181029,BHU
149,833,Punjab,1,Bhakkar,181,Mankera,18103,Daggar Kotli,181028,BHU
150,832,Punjab,1,Bhakkar,181,Mankera,18103,Karluwala,181082,BHU
151,831,Punjab,1,Bhakkar,181,Mankera,18103,Litten,181032,BHU
152,830,Punjab,1,Bhakkar,181,Mankera,18103,Chak # 73 / ML,181088,BHU
153,829,Punjab,1,Bhakkar,181,Mankera,18103,Chak # 67 / ML,181027,BHU
154,828,Punjab,1,Bhakkar,181,Mankera,18103,THQH Mankera,181059,THQ
155,12628,Khyber Pakhtunkhwa,3,Buner,42,Gagra,4203,RHC Sarqala,342003,RHC 
156,8443,Punjab,1,Mianwali,830,Mianwali,2, MARI INDUS,183024,BHU 
157,12629,Khyber Pakhtunkhwa,3,Buner,42,Gagra,4203,BHU Bangirai,342017,BHU 
158,8441,Punjab,1,Mianwali,830,Mianwali,2, DAUD KHEL,183066,RHC 
159,8442,Punjab,1,Mianwali,830,Mianwali,2, PAKI SHAH MARDAN,183029,BHU 
160,12633,Khyber Pakhtunkhwa,3,Buner,42,Gagra,4203,CD Amnawar,342028,CD 
161,12610,Khyber Pakhtunkhwa,3,Buner,42,Dagar,4201,BHU Dokada,342008,BHU 
162,12611,Khyber Pakhtunkhwa,3,Buner,42,Dagar,4201,BHU Nanser,342015,BHU 
163,12612,Khyber Pakhtunkhwa,3,Buner,42,Dagar,4201,CD Anghapur,342021,CD 
164,12613,Khyber Pakhtunkhwa,3,Buner,42,Dagar,4201,CD Bagra,342022,CD 
165,12627,Khyber Pakhtunkhwa,3,Buner,42,Mandan,4202,CH Chamla,342032,CH 
166,819,Punjab,1,Bhakkar,181,Daryakhan,18104,Kaath,181118,GD
167,12626,Khyber Pakhtunkhwa,3,Buner,42,Mandan,4202,RHC Nagrai,342025,RHC 
168,817,Punjab,1,Bhakkar,181,Daryakhan,18104,Hassan Shah,181030,BHU
169,816,Punjab,1,Bhakkar,181,Daryakhan,18104,Chak # 9/TDA,181084,BHU
170,815,Punjab,1,Bhakkar,181,Daryakhan,18104,Jhammat Shumali,181024,BHU
171,814,Punjab,1,Bhakkar,181,Daryakhan,18104,Barranga,181020,BHU
172,813,Punjab,1,Bhakkar,181,Daryakhan,18104,Barkatwal,181001,BHU
173,812,Punjab,1,Bhakkar,181,Daryakhan,18104,Daggar Qureshi,181083,BHU
174,811,Punjab,1,Bhakkar,181,Daryakhan,18104,Kohawar Kalan,181009,BHU
175,810,Punjab,1,Bhakkar,181,Daryakhan,18104,Dullewala,181065,RHC
176,809,Punjab,1,Bhakkar,181,Daryakhan,18104,THQH Daryakhan,181120,THQ
177,8435,Punjab,1,Mianwali,830,Mianwali,2,HUSSAIN WALA,183104,BHU 
178,12617,Khyber Pakhtunkhwa,3,Buner,42,Dagar,4201,RHC Jowar,342038,RHC 
179,8434,Punjab,1,Mianwali,830,Mianwali,2, MIANWALI,183055,DHQ 
180,12618,Khyber Pakhtunkhwa,3,Buner,42,Dagar,4201,Leprosy Clinic Salarzi  Jowar,342048,Leprosy Clinic 
181,12616,Khyber Pakhtunkhwa,3,Buner,42,Dagar,4201,Leprosy Clinic Pirbaba,342035,Leprosy Clinic 
182,8432,Punjab,1,Mianwali,830,IssaKheel,1, GANDA,183121,BHU 
183,8429,Punjab,1,Mianwali,830,IssaKheel,1, HOSPITAL KALABAGH,183053,THQ 
184,8430,Punjab,1,Mianwali,830,IssaKheel,1,TABBISAR,183063,RHC 
185,8427,Punjab,1,Mianwali,830,IssaKheel,1, VANJAREE,183097,BHU 
186,8428,Punjab,1,Mianwali,830,IssaKheel,1, CHAPPRI,183120,BHU 
187,12608,Khyber Pakhtunkhwa,3,Buner,42,Dagar,4201,BHU Nawakalay,342006,BHU 
188,8425,Punjab,1,Mianwali,830,IssaKheel,1, TRAG,183064,RHC 
189,12609,Khyber Pakhtunkhwa,3,Buner,42,Dagar,4201,BHU Toorwarsak,342007,BHU 
190,8423,Punjab,1,Mianwali,830,IssaKheel,1, MITHA KHATTAK,183006,BHU 
191,8424,Punjab,1,Mianwali,830,IssaKheel,1,SULTAN KHEL,183075,BHU 
192,793,Punjab,1,Bhakkar,181,Bhakkar,18101,Khansar,181008,BHU
193,792,Punjab,1,Bhakkar,181,Bhakkar,18101,Sarai Muhajir,181017,BHU
194,791,Punjab,1,Bhakkar,181,Bhakkar,18101,Notak,181014,BHU
195,790,Punjab,1,Bhakkar,181,Bhakkar,18101,MuslimKot,181080,BHU
196,789,Punjab,1,Bhakkar,181,Bhakkar,18101,Dhandlah,181006,BHU
197,788,Punjab,1,Bhakkar,181,Bhakkar,18101,Pir Ashab,181015,BHU
198,787,Punjab,1,Bhakkar,181,Bhakkar,18101,Mullanwali,181013,BHU
199,786,Punjab,1,Bhakkar,181,Bhakkar,18101,Sial,181018,BHU
200,785,Punjab,1,Bhakkar,181,Bhakkar,18101,Yousaf Shah,181019,BHU
201,784,Punjab,1,Bhakkar,181,Bhakkar,18101,Daggar Rethas,181005,BHU
202,783,Punjab,1,Bhakkar,181,Bhakkar,18101,Katchi Shahani,81007,BHU
203,782,Punjab,1,Bhakkar,181,Bhakkar,18101,Mahnaywala,181085,BHU
204,781,Punjab,1,Bhakkar,181,Bhakkar,18101,Kotla Jam,181010,BHU
205,780,Punjab,1,Bhakkar,181,Bhakkar,18101,Chuni Shumali,181003,BHU
206,779,Punjab,1,Bhakkar,181,Bhakkar,18101,RHC Behal,181063,RHC
207,778,Punjab,1,Bhakkar,181,Bhakkar,18101,DHQH Bhakkar,181056,DHQ
208,842,Punjab,1,Bhakkar,181,Kallurkot,18102,THQH Kallurkot,181058,THQ
209,843,Punjab,1,Bhakkar,181,Kallurkot,18102,Jandanwala,181066,RHC
210,844,Punjab,1,Bhakkar,181,Kallurkot,18102,Basti Mai Roshan,181002,BHU
211,845,Punjab,1,Bhakkar,181,Kallurkot,18102,Maibal,181012,BHU
212,846,Punjab,1,Bhakkar,181,Kallurkot,18102,Daggar Noon,181004,BHU
213,847,Punjab,1,Bhakkar,181,Kallurkot,18102,Saeed Wala,181026,BHU
214,848,Punjab,1,Bhakkar,181,Kallurkot,18102,Hassan Wala,181023,BHU
215,849,Punjab,1,Bhakkar,181,Kallurkot,18102,Jahan wala,181086,BHU
216,850,Punjab,1,Bhakkar,181,Kallurkot,18102,Fazil,181022,BHU
217,851,Punjab,1,Bhakkar,181,Kallurkot,18102,Noora Sharif,181025,BHU
218,852,Punjab,1,Bhakkar,181,Kallurkot,18102,Shehadan,181087,BHU
219,853,Punjab,1,Bhakkar,181,Kallurkot,18102,Chak # 63/DB,181021,BHU
220,8422,Punjab,1,Mianwali,830,IssaKheel,1,KALLUR SHARIF,183003,BHU 
221,8421,Punjab,1,Mianwali,830,IssaKheel,1, MASEET WALA,183122,BHU 
222,8420,Punjab,1,Mianwali,830,IssaKheel,1, KUNDAL,183004,BHU 
223,8419,Punjab,1,Mianwali,830,IssaKheel,1, HOSPITAL ISA KHEL,183054,THQ 
224,8418,Punjab,1,Bhakkar,181,Mankera,18101,Katchi Shahani,181007,BHU
225,8417,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,CD Rehana,322047,CD
226,8416,Punjab,1,Bhakkar,181,Daryakhan,18104,Punjgrain,181016,BHU
227,862,Punjab,1,Bhakkar,181,Kallurkot,18102,Chak # 57/DB,181077,SHC
228,9713,Sindh,2,Shaheed Benazirabad,243,Kazi Ahmed,24304,BHU Ghulam Mohammad Jamali,243010,BHU
229,9712,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,BHU Khabar Lakhmir,243012,BHU
230,9711,Sindh,2,Shaheed Benazirabad,243,Nawabshah,24301,BHU Khair Shah,243013,BHU
231,9710,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,BHU Dino Shah,243014,BHU
232,9709,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,BHU Hamal Fakir,243015,BHU
233,9708,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,BHU Hassan Jamali,243016,BHU
234,9707,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,BHU Mari Jalbani,243017,BHU
235,9706,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,RHC Mehrab pur0244317037,243018,RHC
236,9705,Sindh,2,Shaheed Benazirabad,243,Kazi Ahmed,24304,BHU Bado Mahar,243019,BHU
237,9704,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,BHU Mohammad Khan Magsi,243020,BHU
238,9703,Sindh,2,Shaheed Benazirabad,243,Kazi Ahmed,24304,BHU Ramzan Rahu,243021,BHU
239,9702,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,BHU Shamil Uner,243022,BHU
240,9701,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,BHU Sukhio Manahejo,243022,BHU
241,9700,Sindh,2,Shaheed Benazirabad,243,Kazi Ahmed,24304,GD Manharo,243023,GD
242,9699,Sindh,2,Shaheed Benazirabad,243,Dour,24302,RHC Bandhi0244451023,243024,RHC
243,9698,Sindh,2,Shaheed Benazirabad,243,Nawabshah,24301,GD Brohi Cotton Factory,243025,GD
244,9697,Sindh,2,Shaheed Benazirabad,243,Dour,24302,GD Ghazi Khan Bhurgri,243026,GD
245,9696,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,BHU Majeed Keerio,243027,BHU
246,9695,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,GD Khadhar,243028,GD
247,10173,FATA,8,Mohmand,802,Ekkaghund,802001,RHC Ekkaghund,802001,RHC
248,9694,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,Taluka Hospital Sakrand     ,243029,THQ
249,9693,Sindh,2,Shaheed Benazirabad,243,Dour,24302,BHU 60 Mile,243030,BHU
250,9692,Sindh,2,Shaheed Benazirabad,243,Nawabshah,24301,MCH Manuabad                   ,243031,MCH
251,9691,Sindh,2,Shaheed Benazirabad,243,Kazi Ahmed,24304,RHC Kazi Ahmed0244321023  ,243032,RHC
252,9690,Sindh,2,Shaheed Benazirabad,243,Kazi Ahmed,24304,RHC Shahpur Jahania,243033,RHC
253,9689,Sindh,2,Shaheed Benazirabad,243,Dour,24302,RHC Chack NO:3,243034,RHC
254,9688,Sindh,2,Shaheed Benazirabad,243,Dour,24302,RHC Daur0244325431,243035,RHC
255,9687,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,RHC  Mahar Ali Jamali              ,243036,RHC
256,9686,Sindh,2,Shaheed Benazirabad,243,Nawabshah,24301,PMCH Nawabshah,243038,Teaching Hospital
257,9685,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,BHU Karam Jamali,243039,BHU
258,9684,Sindh,2,Shaheed Benazirabad,243,Dour,24302,BHU Karim Bux Dahri,243040,BHU
259,9683,Sindh,2,Shaheed Benazirabad,243,Dour,24302,GD Jhoro Shar,243041,GD
260,9682,Sindh,2,Shaheed Benazirabad,243,Dour,24302,GD Soomar Korai,243042,GD
261,9681,Sindh,2,Shaheed Benazirabad,243,Nawabshah,24301,BHU Karam Ali Jamali  ,243043,BHU
262,9680,Sindh,2,Shaheed Benazirabad,243,Kazi Ahmed,24304,BHU Nawab Wali Mohammad,243044,BHU
263,9678,Sindh,2,Shaheed Benazirabad,243,Kazi Ahmed,24304,BHU Moqeem Dahri,243048,BHU
264,9679,Sindh,2,Shaheed Benazirabad,243,Kazi Ahmed,24304,BHU Kharr,243047,BHU
265,9677,Sindh,2,Shaheed Benazirabad,243,Kazi Ahmed,24304,BHU Kot Maqbool Shah,243049,BHU
266,9676,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,GD Kalay Bux Rind,243050,GD
267,9675,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,GD Agriculture Form,243051,GD
268,9674,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,GD Ganwar Mahar,243052,GD
269,9673,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,BHU Jalalani,243059,BHU
270,9672,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,GD Qaisar khan chandio,243060,GD
271,9671,Sindh,2,Shaheed Benazirabad,243,Dour,24302,GD Dorai Mahar,243070,GD
272,9670,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,BHU Punhal Khan Chandio,243071,BHU
273,9669,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,GD Rahimo Keerio,243074,GD
274,9668,Sindh,2,Shaheed Benazirabad,243,Kazi Ahmed,24304,GD Gahand,243075,GD
275,9667,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,BHU Chattan Shah,243076,BHU
