Admin 1,Admin 2,Admin 3,Facility,HF_Type,Catchment,Latitude,Longitude
Azad Kashmir,Hattian Bala,Leepa,Nokot,BHU,"8,781",34.257356,73.503853
Azad Kashmir,Hattian Bala,Hattian,Drang,FAP,"4,500",0,0
Azad Kashmir,Hattian Bala,Hattian,Juscool,FAP,"5,600",34.147612,73.836059
Azad Kashmir,Hattian Bala,Hattian,Bandi Bala,FAP,"7,500",0,0
Azad Kashmir,Hattian Bala,Hattian,Ghel Jabra,CD/GD,"23,000",34.323266,73.597298
Azad Kashmir,Hattian Bala,Hattian,Chakhama,BHU,"11,181",34.176214,73.873532
Azad Kashmir,Hattian Bala,Hattian,Bani Langrial,FAP,"6,000",34.113527,73.756067
Azad Kashmir,Hattian Bala,Hattian,Sana Daman,BHU,"7,000",34.138426,73.77335
Azad Kashmir,Hattian Bala,Chikar,Noon Bagla,FAP,"6,453",34.127881,73.665844
Azad Kashmir,Hattian Bala,Chikar,Shakrian,FAP,"3,637",0,0
Azad Kashmir,Hattian Bala,Chikar,Andra Sari,FAP,"6,802",0,0
Azad Kashmir,Hattian Bala,Chikar,Salmia,BHU,"12,370",34.117921,73.730289
Azad Kashmir,Hattian Bala,Chikar,Chikar,RHC,"39,688",34.151608,73.681955
Azad Kashmir,Hattian Bala,Hattian,Pahal,CD/GD,"3,567",34.114406,73.894624
Azad Kashmir,Hattian Bala,Hattian,Gujar Bandi,FAP,"14,935",34.144724,73.848731
Azad Kashmir,Hattian Bala,Hattian,Gundi Gran,BHU,"12,000",34.141648,73.93329
Azad Kashmir,Hattian Bala,Hattian,Lamnian,BHU,"17,910",34.233336,73.786239
Azad Kashmir,Hattian Bala,Hattian,Sharian,BHU,"21,664",34.213417,73.779502
Azad Kashmir,Hattian Bala,Hattian,Khlana,BHU,"22,137",34.073981,73.883199
Azad Kashmir,Hattian Bala,Hattian,Chakothi,RHC,"22,000",34.118507,73.798249
Azad Kashmir,Hattian Bala,Hattian,Hattian,RHC,"15,000",34.172992,73.742592
Azad Kashmir,Haveli,Havali,Khawaja Bandi,CD/GD,"5,600",34.028501,74.081643
Azad Kashmir,Haveli,Havali,Bhedi,BHU,"15,618",0,0
Azad Kashmir,Haveli,Havali,Changal,BHU,"12,356",33.869778,74.134028
Azad Kashmir,Haveli,Havali,Khurshid Abad,RHC,"14,609",33.870278,74.126972
Azad Kashmir,Haveli,Havali,Rainkari Khas,FAP,"5,596",33.86926,74.10598
Azad Kashmir,Haveli,Havali,Hillan,CD/GD,"10,663",33.911124,74.106081
Azad Kashmir,Haveli,Havali,Jabri haji Pir,FAP,"3,203",0,0
Azad Kashmir,Haveli,Havali,Dagwar,BHU,"7,447",33.8325,74.08056
Azad Kashmir,Haveli,Havali,Soli,CD/GD,"8,190",33.903163,74.135518
Azad Kashmir,Haveli,Havali,Hallen Shumali,BHU,"13,144",33.926676,74.093121
Azad Kashmir,Haveli,Khurshid Abad,Kalamula,BHU,"10,116",33.942435,74.162409
Azad Kashmir,Haveli,Havali,Mandhar,CD/GD,"4,630",33.85468,74.166019
Azad Kashmir,Haveli,Havali,Naga Nari,CD/GD,"5,238",33.928157,74.040357
Azad Kashmir,Haveli,Havali,Serian,CD/GD,"4,798",33.833575,74.057714
Azad Kashmir,Haveli,Havali,Tongri,BHU,"8,897",33.854167,74.075556
Azad Kashmir,Haveli,Havali,Bahta Kot,BHU,"6,718",33.911778,74.006139
Azad Kashmir,Haveli,Havali,Palangi,FAP,"5,630",0,0
Azad Kashmir,Haveli,Havali,Budhal,FAP,"4,798",33.894091,74.008699
Azad Kashmir,Haveli,Havali,Gugdar,BHU,"27,143",33.877614,74.028509
Azad Kashmir,Haveli,Havali,Kahota,RHC,"17,062",33.88885,74.10063
Azad Kashmir,Muzaffarabad,Muzaffarabad,Chanal Bung,FAP,"4,800",34.20921,73.52501
Azad Kashmir,Muzaffarabad,Muzaffarabad,Her Kootli,FAP,"5,240",0,0
Azad Kashmir,Muzaffarabad,Muzaffarabad,Noora Sari,FAP,"2,000",0,0
Azad Kashmir,Muzaffarabad,Muzaffarabad,Charak Pura,FAP,"11,000",34.26912,73.5585
Azad Kashmir,Muzaffarabad,Muzaffarabad,Charak Pura,FAP,"5,460",34.32315,73.49064
Azad Kashmir,Muzaffarabad,Muzaffarabad,Ghari Dupatta,FAP,"9,138",34.229167,73.620833
Azad Kashmir,Muzaffarabad,Muzaffarabad,Kaimanja,FAP,"6,000",34.24535,73.68714
Azad Kashmir,Muzaffarabad,Muzaffarabad,Heer Kotli,FAP,"1,841",0,0
Azad Kashmir,Muzaffarabad,Muzaffarabad,Chattar Klass,FAP,"6,677",0,0
Azad Kashmir,Muzaffarabad,Muzaffarabad,Muzaffarabad,FAP,"4,596",34.24025,73.62101
Azad Kashmir,Muzaffarabad,Pattika,Sarli Suca,FAP,"4,000",0,0
Azad Kashmir,Muzaffarabad,Pattika,Panjgran,FAP,"3,600",34.415246,73.617511
Azad Kashmir,Muzaffarabad,Muzaffarabad,Mera Kalan,FAP,"9,532",0,0
Azad Kashmir,Muzaffarabad,Muzaffarabad,Gojra,FAP,"3,495",34.358353,73.442559
Azad Kashmir,Muzaffarabad,Muzaffarabad,Danna,FAP,"6,472",34.917904,74.215383
Azad Kashmir,Muzaffarabad,Muzaffarabad,Gojra,FAP,"2,303",34.40659,73.43229
Azad Kashmir,Muzaffarabad,Muzaffarabad,Sangri Mera,FAP,"4,000",0,0
Azad Kashmir,Muzaffarabad,Muzaffarabad,Muzaffarabad,FAP,"2,710",34.357307,73.475969
Azad Kashmir,Muzaffarabad,Pattika,Sarli Suca,FAP,"9,670",34.453034,73.652369
Azad Kashmir,Muzaffarabad,Pattika,Sarli Suca,FAP,"2,000",34.459772,73.597005
Azad Kashmir,Muzaffarabad,Muzaffarabad,Gojra,FAP,"6,622",0,0
Azad Kashmir,Muzaffarabad,Muzaffarabad,Therian,FAP,"9,000",34.24262,73.53752
Azad Kashmir,Muzaffarabad,Muzaffarabad,Komi kot,CD/GD,"25,000",34.201,73.59014
Azad Kashmir,Muzaffarabad,Pattika,Telgran,CD/GD,"7,856",34.47794,73.46978
Azad Kashmir,Muzaffarabad,Muzaffarabad,Muzaffarabad,CD/GD,"9,091",34.357307,73.475969
Azad Kashmir,Muzaffarabad,Muzaffarabad,Kaimanja,CD/GD,"18,998",34.24535,73.68714
Azad Kashmir,Muzaffarabad,Muzaffarabad,Gojra,CD/GD,"14,772",34.358981,73.468436
Azad Kashmir,Muzaffarabad,Muzaffarabad,Chattar Klass,CD/GD,"6,990",34.36867,73.567126
Azad Kashmir,Muzaffarabad,Muzaffarabad,Muzaffarabad,MCHC/CHC,"15,000",0,0
Azad Kashmir,Muzaffarabad,Pattika,Sarli Sucha,BHU,"18,000",34.483206,73.648854
Azad Kashmir,Muzaffarabad,Katkair,katkair,BHU,"23,266",34.066365,73.645632
Azad Kashmir,Muzaffarabad,Kacheli,kachci,CD/GD,"20,750",34.090093,73.600814
Azad Kashmir,Muzaffarabad,Muzaffarabad,Chattar Klass,BHU,"21,600",34.20305,73.50138
Azad Kashmir,Muzaffarabad,Muzaffarabad,Gojra,BHU,"9,547",34.36059,73.46799
Azad Kashmir,Muzaffarabad,Muzaffarabad,Gojra,BHU,"10,011",34.394448,73.436186
Azad Kashmir,Muzaffarabad,Muzaffarabad,Muzaffarabad,BHU,"15,773",34.36528,73.52858
Azad Kashmir,Muzaffarabad,Pattika,Panjgran,BHU,"8,473",0,0
Azad Kashmir,Muzaffarabad,Muzaffarabad,Muzaffarabad,BHU,"22,180",0,0
Azad Kashmir,Muzaffarabad,Muzaffarabad,Muzaffarabad,RHC,"22,000",34.344124,73.459787
Azad Kashmir,Muzaffarabad,Muzaffarabad,Therian,BHU,"12,716",34.232457,73.561854
Azad Kashmir,Muzaffarabad,Pattika,Kahori,BHU,"17,655",34.470317,73.49448
Azad Kashmir,Muzaffarabad,Muzaffarabad,Muzaffarabad,MCHC/CHC,"9,326",0,0
Azad Kashmir,Muzaffarabad,Pattika,Panjkot,BHU,"22,000",34.347872,73.722673
Azad Kashmir,Muzaffarabad,Pattika,Machiara,BHU,"9,340",34.489651,73.578258
Azad Kashmir,Muzaffarabad,Muzaffarabad,Chattar Klass,BHU,"14,667",34.130224,73.499459
Azad Kashmir,Muzaffarabad,Muzaffarabad,Chattar Klass,BHU,"10,483",34.258821,73.490671
Azad Kashmir,Muzaffarabad,Pattika,Behri,BHU,"26,997",34.525388,73.572985
Azad Kashmir,Muzaffarabad,Pattika,Kahori,BHU,"52,200",34.458893,73.440287
Azad Kashmir,Muzaffarabad,Pattika,Machiara,BHU,"12,732",34.512206,73.622783
Azad Kashmir,Muzaffarabad,Muzaffarabad,Chattar Klass,BHU,"7,881",34.249154,73.478075
Azad Kashmir,Muzaffarabad,Muzaffarabad,Kaimanja,BHU,"10,370",34.232457,73.697188
