Admin 1,Admin 2,Admin 3,Facility,Facility Type,Catchment,Latitude,Longitude,UID
Azad Kashmir,Hattian Bala,Leepa,Leepa,Rhc,"30,113",34.303932,73.87031,63-fac1
Azad Kashmir,Hattian Bala,Leepa,Banamulla,Bhu,"10,166",34.240366,73.824027,64-fac1
Azad Kashmir,Hattian Bala,Leepa,Moji,Fap,"3,100",34.314771,73.804987,65-fac1
Azad Kashmir,Hattian Bala,Leepa,Gai Pura,Fap,"10,350",34.316821,73.841896,66-fac1
Azad Kashmir,Hattian Bala,Hattian,Rashian,Bhu,"8,902",34.257649,73.820512,67-fac1
Azad Kashmir,Hattian Bala,Hattian,Bani Hafiz,Fap,"7,000",0,0,68-fac1
Azad Kashmir,Hattian Bala,Hattian,Chinari,Bhu,"10,350",34.160103,73.826371,69-fac1
Azad Kashmir,Hattian Bala,Hattian,Sarran,Bhu,"24,505",34.187053,73.671703,70-fac1
Azad Kashmir,Hattian Bala,Leepa,Nokot,Bhu,"8,781",34.257356,73.503853,71-fac1
Azad Kashmir,Hattian Bala,Hattian,Drang,Fap,"4,500",0,0,72-fac1
Azad Kashmir,Hattian Bala,Hattian,Juscool,Fap,"5,600",34.147612,73.836059,73-fac1
Azad Kashmir,Hattian Bala,Hattian,Bandi Bala,Fap,"7,500",0,0,74-fac1
Azad Kashmir,Hattian Bala,Hattian,Ghel Jabra,Cd/Gd,"23,000",34.323266,73.597298,75-fac1
Azad Kashmir,Hattian Bala,Hattian,Chakhama,Bhu,"11,181",34.176214,73.873532,76-fac1
Azad Kashmir,Hattian Bala,Hattian,Bani Langrial,Fap,"6,000",34.113527,73.756067,77-fac1
Azad Kashmir,Hattian Bala,Hattian,Sana Daman,Bhu,"7,000",34.138426,73.77335,78-fac1
Azad Kashmir,Hattian Bala,Chikar,Noon Bagla,Fap,"6,453",34.127881,73.665844,79-fac1
Azad Kashmir,Hattian Bala,Chikar,Shakrian,Fap,"3,637",0,0,80-fac1
Azad Kashmir,Hattian Bala,Chikar,Andra Sari,Fap,"6,802",0,0,81-fac1
Azad Kashmir,Hattian Bala,Chikar,Salmia,Bhu,"12,370",34.117921,73.730289,82-fac1
Azad Kashmir,Hattian Bala,Chikar,Chikar,Rhc,"39,688",34.151608,73.681955,83-fac1
Azad Kashmir,Hattian Bala,Hattian,Pahal,Cd/Gd,"3,567",34.114406,73.894624,84-fac1
Azad Kashmir,Hattian Bala,Hattian,Gujar Bandi,Fap,"14,935",34.144724,73.848731,85-fac1
Azad Kashmir,Hattian Bala,Hattian,Gundi Gran,Bhu,"12,000",34.141648,73.93329,86-fac1
Azad Kashmir,Hattian Bala,Hattian,Lamnian,Bhu,"17,910",34.233336,73.786239,87-fac1
Azad Kashmir,Hattian Bala,Hattian,Sharian,Bhu,"21,664",34.213417,73.779502,88-fac1
Azad Kashmir,Hattian Bala,Hattian,Khlana,Bhu,"22,137",34.073981,73.883199,89-fac1
Azad Kashmir,Hattian Bala,Hattian,Chakothi,Rhc,"22,000",34.118507,73.798249,90-fac1
Azad Kashmir,Hattian Bala,Hattian,Hattian,Rhc,"15,000",34.172992,73.742592,91-fac1
Azad Kashmir,Haveli,Havali,Khawaja Bandi,Cd/Gd,"5,600",34.028501,74.081643,92-fac1
Azad Kashmir,Haveli,Havali,Bhedi,Bhu,"15,618",0,0,93-fac1
Azad Kashmir,Haveli,Havali,Changal,Bhu,"12,356",33.869778,74.134028,94-fac1
Azad Kashmir,Haveli,Havali,Khurshid Abad,Rhc,"14,609",33.870278,74.126972,95-fac1
Azad Kashmir,Haveli,Havali,Rainkari Khas,Fap,"5,596",33.86926,74.10598,96-fac1
Azad Kashmir,Haveli,Havali,Hillan,Cd/Gd,"10,663",33.911124,74.106081,97-fac1
Azad Kashmir,Haveli,Havali,Jabri Haji Pir,Fap,"3,203",0,0,98-fac1
Azad Kashmir,Haveli,Havali,Dagwar,Bhu,"7,447",33.8325,74.08056,99-fac1
Azad Kashmir,Haveli,Havali,Soli,Cd/Gd,"8,190",33.903163,74.135518,100-fac1
Azad Kashmir,Haveli,Havali,Hallen Shumali,Bhu,"13,144",33.926676,74.093121,101-fac1
Azad Kashmir,Haveli,Khurshid Abad,Kalamula,Bhu,"10,116",33.942435,74.162409,102-fac1
Azad Kashmir,Haveli,Havali,Mandhar,Cd/Gd,"4,630",33.85468,74.166019,103-fac1
Azad Kashmir,Haveli,Havali,Naga Nari,Cd/Gd,"5,238",33.928157,74.040357,104-fac1
Azad Kashmir,Haveli,Havali,Serian,Cd/Gd,"4,798",33.833575,74.057714,105-fac1
Azad Kashmir,Haveli,Havali,Tongri,Bhu,"8,897",33.854167,74.075556,106-fac1
Azad Kashmir,Haveli,Havali,Bahta Kot,Bhu,"6,718",33.911778,74.006139,107-fac1
Azad Kashmir,Haveli,Havali,Palangi,Fap,"5,630",0,0,108-fac1
Azad Kashmir,Haveli,Havali,Budhal,Fap,"4,798",33.894091,74.008699,109-fac1
Azad Kashmir,Haveli,Havali,Gugdar,Bhu,"27,143",33.877614,74.028509,110-fac1
Azad Kashmir,Haveli,Havali,Kahota,Rhc,"17,062",33.88885,74.10063,111-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Chanal Bung,Fap,"4,800",34.20921,73.52501,112-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Her Kootli,Fap,"5,240",0,0,113-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Noora Sari,Fap,"2,000",0,0,114-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Charak Pura,Fap,"11,000",34.26912,73.5585,115-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Charak Pura,Fap,"5,460",34.32315,73.49064,116-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Ghari Dupatta,Fap,"9,138",34.229167,73.620833,117-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Kaimanja,Fap,"6,000",34.24535,73.68714,118-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Heer Kotli,Fap,"1,841",0,0,119-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Chattar Klass,Fap,"6,677",0,0,120-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Muzaffarabad,Fap,"4,596",34.24025,73.62101,121-fac1
Azad Kashmir,Muzaffarabad,Pattika,Sarli Suca,Fap,"4,000",0,0,122-fac1
Azad Kashmir,Muzaffarabad,Pattika,Panjgran,Fap,"3,600",34.415246,73.617511,123-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Mera Kalan,Fap,"9,532",0,0,124-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Gojra,Fap,"3,495",34.358353,73.442559,125-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Danna,Fap,"6,472",34.917904,74.215383,126-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Gojra,Fap,"2,303",34.40659,73.43229,127-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Sangri Mera,Fap,"4,000",0,0,128-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Muzaffarabad,Fap,"2,710",34.357307,73.475969,129-fac1
Azad Kashmir,Muzaffarabad,Pattika,Sarli Suca,Fap,"9,670",34.453034,73.652369,130-fac1
Azad Kashmir,Muzaffarabad,Pattika,Sarli Suca,Fap,"2,000",34.459772,73.597005,131-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Gojra,Fap,"6,622",0,0,132-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Therian,Fap,"9,000",34.24262,73.53752,133-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Komi Kot,Cd/Gd,"25,000",34.201,73.59014,134-fac1
Azad Kashmir,Muzaffarabad,Pattika,Telgran,Cd/Gd,"7,856",34.47794,73.46978,135-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Muzaffarabad,Cd/Gd,"9,091",34.357307,73.475969,136-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Kaimanja,Cd/Gd,"18,998",34.24535,73.68714,137-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Gojra,Cd/Gd,"14,772",34.358981,73.468436,138-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Chattar Klass,Cd/Gd,"6,990",34.36867,73.567126,139-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Muzaffarabad,Mchc/Chc,"15,000",0,0,140-fac1
Azad Kashmir,Muzaffarabad,Pattika,Sarli Sucha,Bhu,"18,000",34.483206,73.648854,141-fac1
Azad Kashmir,Muzaffarabad,Katkair,Katkair,Bhu,"23,266",34.066365,73.645632,142-fac1
Azad Kashmir,Muzaffarabad,Kacheli,Kachci,Cd/Gd,"20,750",34.090093,73.600814,143-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Chattar Klass,Bhu,"21,600",34.20305,73.50138,144-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Gojra,Bhu,"9,547",34.36059,73.46799,145-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Gojra,Bhu,"10,011",34.394448,73.436186,146-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Muzaffarabad,Bhu,"15,773",34.36528,73.52858,147-fac1
Azad Kashmir,Muzaffarabad,Pattika,Panjgran,Bhu,"8,473",0,0,148-fac1
