Health Level,Admin 1,Admin 2,Level,Facility,UID
Health Facility,Azad Kashmir,Bagh,4,BHU Birpani,2
Health Facility,Azad Kashmir,Bhimber,4,BHU CHowki,3
Health Facility,Azad Kashmir,Bhimber,4,BHU Dhulli,4
Health Facility,Azad Kashmir,Bhimber,4,BHU Jhaglari,6
Health Facility,Azad Kashmir,Bhimber,4,BHU Khawaja Ratnoi,8
Health Facility,Azad Kashmir,Bhimber,4,BHU Khorl Abbasian,9
Health Facility,Azad Kashmir,Bhimber,4,BHU Khorl Meldialin,10
Health Facility,Azad Kashmir,Bhimber,4,BHU Kot,12
Health Facility,Azad Kashmir,Bhimber,4,BHU Neela Butt,13
Health Facility,Azad Kashmir,Bhimber,4,BHU Rangla,14
Health Facility,Azad Kashmir,Bhimber,4,BHU Rera,15
Health Facility,Azad Kashmir,Bhimber,4,BHU Sahlian,18
Health Facility,Azad Kashmir,Bhimber,4,BHU Sari Pirain,19
Health Facility,Azad Kashmir,Bhimber,4,BHU Sirsyedan,20
Health Facility,Azad Kashmir,Bhimber,4,BHU Sohawa Shreef,21
Health Facility,Azad Kashmir,Bhimber,4,BHU Thub,23
Health Facility,Azad Kashmir,Bhimber,4,CD Bani Pasari,25
Health Facility,Azad Kashmir,Bhimber,4,CD Hill Hosp,27
Health Facility,Azad Kashmir,Bhimber,4,CD Hq Bagh,30
Health Facility,Azad Kashmir,Bhimber,4,CD Naryola,31
Health Facility,Azad Kashmir,Bhimber,4,CD Sangher Bathara,32
Health Facility,Azad Kashmir,Bhimber,4,DHQ Hosp Bagh,33
Health Facility,Azad Kashmir,Bhimber,4,EPI Center Harri Ghal,35
Health Facility,Azad Kashmir,Bhimber,4,Fad Dhak Padder,36
Health Facility,Azad Kashmir,Bhimber,4,Fap Disp Sallyna Mddila,37
Health Facility,Azad Kashmir,Bhimber,4,Fap Natra Kot,38
Health Facility,Azad Kashmir,Bhimber,4,RHC CHittra Topi,39
Health Facility,Azad Kashmir,Bhimber,4,RHC CHtter Noz,40
Health Facility,Azad Kashmir,Bhimber,4,RHC EPI Center Arja,41
Health Facility,Azad Kashmir,Bhimber,4,RHC Ghazi Abad,42
Health Facility,Azad Kashmir,Bhimber,4,RHC Kafal Garh,44
Health Facility,Azad Kashmir,Bhimber,4,RHC Mallot,45
Health Facility,Azad Kashmir,Bhimber,4,RHC Sessar,47
Health Facility,Azad Kashmir,Bhimber,4,Tehsil Store Harri Ghal,49
Health Facility,Azad Kashmir,Bhimber,4,THQ Dhirkot,52
Health Facility,Azad Kashmir,Bhimber,4,THQ Dhirkot Store,54
District,Azad Kashmir,Bhimber,3,Bagh District Store,57
Health Facility,Azad Kashmir,Bhimber,4, BHU CHeez,76
Health Facility,Azad Kashmir,Hattian Bala,4,BHU Baba Sheel Shadi,77
Health Facility,Azad Kashmir,Hattian Bala,4,BHU Banin,79
Health Facility,Azad Kashmir,Hattian Bala,4,BHU Barhing,81
Health Facility,Azad Kashmir,Hattian Bala,4,BHU Barnala,83
Health Facility,Azad Kashmir,Hattian Bala,4,BHU Bhmawa,84
Health Facility,Azad Kashmir,Hattian Bala,4,BHU Binali,86
Health Facility,Azad Kashmir,Hattian Bala,4,BHU CHanni Thothal,87
Health Facility,Azad Kashmir,Hattian Bala,4,BHU Dabb,91
Health Facility,Azad Kashmir,Hattian Bala,4,BHU Gora Nakka,92
Health Facility,Azad Kashmir,Hattian Bala,4,BHU Jandala,93
Health Facility,Azad Kashmir,Hattian Bala,4,BHU Kalri,97
Health Facility,Azad Kashmir,Hattian Bala,4,BHU Kherowal,98
Health Facility,Azad Kashmir,Hattian Bala,4,BHU Kot Jamal,99
Health Facility,Azad Kashmir,Hattian Bala,4,BHU Malot,100
Health Facility,Azad Kashmir,Hattian Bala,4,BHU Mughloora,101
Health Facility,Azad Kashmir,Hattian Bala,4,BHU Nali,102
Health Facility,Azad Kashmir,Hattian Bala,4,BHU Pindi Jhunja,103
Health Facility,Azad Kashmir,Hattian Bala,4,BHU Poona,104
Health Facility,Azad Kashmir,Hattian Bala,4,BHU Sokasan,106
Health Facility,Azad Kashmir,Hattian Bala,4,CD Fakroot,108
Health Facility,Azad Kashmir,Hattian Bala,4,CD Kadyala,109
Health Facility,Azad Kashmir,Hattian Bala,4,CD Kalwal,110
Health Facility,Azad Kashmir,Hattian Bala,4,CD Kanjloor,111
Health Facility,Azad Kashmir,Hattian Bala,4,CD Khadora,113
Health Facility,Azad Kashmir,Hattian Bala,4,CD Khamba,114
Health Facility,Azad Kashmir,Hattian Bala,4,CD Panjairri,115
Health Facility,Azad Kashmir,Hattian Bala,4,CD Sanghar,116
Health Facility,Azad Kashmir,Hattian Bala,4,CD Thathi,117
Health Facility,Azad Kashmir,Hattian Bala,4,Dho Bhimber EPI Center,118
Health Facility,Azad Kashmir,Hattian Bala,4,District Hosp Bhimber,122
Health Facility,Azad Kashmir,Hattian Bala,4,Fap Baboot EPI Center,123
Health Facility,Azad Kashmir,Hattian Bala,4,Fap CHandi CHowk,124
Health Facility,Azad Kashmir,Hattian Bala,4,Fap Danna EPI Center,125
Health Facility,Azad Kashmir,Hattian Bala,4,Fap Dhandar Kot,126
Health Facility,Azad Kashmir,Hattian Bala,4,Fap KaliCH,128
Health Facility,Azad Kashmir,Hattian Bala,4,Fap Mathala,129
Health Facility,Azad Kashmir,Hattian Bala,4,Fap Mohra Sada,130
Health Facility,Azad Kashmir,Hattian Bala,4,Fap Thub EPI Center,131
Health Facility,Azad Kashmir,Hattian Bala,4,RHC Barnala,132
Health Facility,Azad Kashmir,Hattian Bala,4,RHC Panjairri,134
Health Facility,Azad Kashmir,Hattian Bala,4,Tehsil EPI Store Mc,135
Health Facility,Azad Kashmir,Hattian Bala,4,Tehsil Store EPI Samahni,136
Health Facility,Azad Kashmir,Hattian Bala,4,THQ EPI Center Samahni,138
District,Azad Kashmir,Hattian Bala,3,Bhimber District Store,139
Health Facility,Azad Kashmir,Hattian Bala,4,BHU Bana Mulla,155
Health Facility,Azad Kashmir,Haveli,4,BHU Chakhama,157
Health Facility,Azad Kashmir,Haveli,4,BHU CHinari,159
Health Facility,Azad Kashmir,Haveli,4,BHU Gandi Garan,160
Health Facility,Azad Kashmir,Haveli,4,BHU Khaliana,161
Health Facility,Azad Kashmir,Haveli,4,BHU Nokot,162
Health Facility,Azad Kashmir,Haveli,4,BHU Sana Damian,164
Health Facility,Azad Kashmir,Haveli,4,BHU Sarran,165
Health Facility,Azad Kashmir,Haveli,4,BHU Sulmia,166
Health Facility,Azad Kashmir,Haveli,4,CD Pahal,167
Health Facility,Azad Kashmir,Haveli,4,CD Shahkanja,168
Health Facility,Azad Kashmir,Haveli,4,EPI Center CHam,169
Health Facility,Azad Kashmir,Haveli,4,Fap Andarsari,170
Health Facility,Azad Kashmir,Haveli,4,Fap Center Bunelangria,171
Health Facility,Azad Kashmir,Haveli,4,Fap Kundia Shakira,172
Health Facility,Azad Kashmir,Haveli,4,Fap Moji,173
Health Facility,Azad Kashmir,Haveli,4,Fap Noon Bagla,174
Health Facility,Azad Kashmir,Haveli,4,RHC Chakar,175
Health Facility,Azad Kashmir,Haveli,4,RHC Chakoti,177
Health Facility,Azad Kashmir,Haveli,4,RHC Leepa,178
Health Facility,Azad Kashmir,Haveli,4,Sub Center Bala Bandi,182
Health Facility,Azad Kashmir,Haveli,4,Sub Center Ghail Jubrrd,183
Health Facility,Azad Kashmir,Haveli,4,Tehsil Store,184
Health Facility,Azad Kashmir,Haveli,4,THQ Hattian,185
District,Azad Kashmir,Haveli,3,Hattian District Store,186
Health Facility,Azad Kashmir,Haveli,4,BHU Behedi,200
Health Facility,Azad Kashmir,Kotli,4,BHU Bhata Kot,203
Health Facility,Azad Kashmir,Kotli,4,BHU CHanjel,204
Health Facility,Azad Kashmir,Kotli,4,BHU Degwar,205
Health Facility,Azad Kashmir,Kotli,4,BHU Gugdar,207
Health Facility,Azad Kashmir,Kotli,4,BHU Hallon Shamali,210
Health Facility,Azad Kashmir,Kotli,4,BHU Kala Moula,212
Health Facility,Azad Kashmir,Kotli,4,BHU Tongari,213
Health Facility,Azad Kashmir,Kotli,4,CD Hillan,215
Health Facility,Azad Kashmir,Kotli,4,CD Mundhar,217
Health Facility,Azad Kashmir,Kotli,4,CD Naga Nari,219
Health Facility,Azad Kashmir,Kotli,4,CD Soli,220
Health Facility,Azad Kashmir,Kotli,4,Fap CHerikot,222
Health Facility,Azad Kashmir,Kotli,4,RHC Khurshidabad,223
Health Facility,Azad Kashmir,Kotli,4,THQ Kahutta,225
District,Azad Kashmir,Kotli,3,Haveli District Store,229
Health Facility,Azad Kashmir,Kotli,4,BHU Anderla Kotera,234
Health Facility,Azad Kashmir,Mirpur,4,BHU Barali,235
Health Facility,Azad Kashmir,Mirpur,4,BHU Bhial,236
Health Facility,Azad Kashmir,Mirpur,4,BHU CHangpur Khawas,237
Health Facility,Azad Kashmir,Mirpur,4,BHU CHoCH,238
Health Facility,Azad Kashmir,Mirpur,4,BHU CHowki Mong,239
Health Facility,Azad Kashmir,Mirpur,4,BHU Dabsi,240
Health Facility,Azad Kashmir,Mirpur,4,BHU Damas,242
Health Facility,Azad Kashmir,Mirpur,4,BHU Dandli,243
Health Facility,Azad Kashmir,Mirpur,4,BHU Darooti Mohra,244
Health Facility,Azad Kashmir,Mirpur,4,BHU Dhanna,245
Health Facility,Azad Kashmir,Mirpur,4,BHU Docia Jatan,246
Health Facility,Azad Kashmir,Mirpur,4,BHU Dondi,247
Health Facility,Azad Kashmir,Mirpur,4,BHU Goi,248
Health Facility,Azad Kashmir,Mirpur,4,BHU Gulpur,249
Health Facility,Azad Kashmir,Mirpur,4,BHU Holar,250
Health Facility,Azad Kashmir,Mirpur,4,BHU Jandrol,251
Health Facility,Azad Kashmir,Mirpur,4,BHU Kajlani,252
Health Facility,Azad Kashmir,Mirpur,4,BHU Kala Dub,253
Health Facility,Azad Kashmir,Mirpur,4,BHU Karela,254
Health Facility,Azad Kashmir,Mirpur,4,BHU Khanka Koterra,255
Health Facility,Azad Kashmir,Mirpur,4,BHU Killkallan,256
Health Facility,Azad Kashmir,Mirpur,4,BHU Kokta,257
Health Facility,Azad Kashmir,Mirpur,4,BHU Mathrani,258
Health Facility,Azad Kashmir,Mirpur,4,BHU Mohra,259
Health Facility,Azad Kashmir,Mirpur,4,BHU Phagwari,260
Health Facility,Azad Kashmir,Mirpur,4,BHU Plyat Saydain,261
Health Facility,Azad Kashmir,Mirpur,4,BHU Qamroti,262
Health Facility,Azad Kashmir,Mirpur,4,BHU Rajdhani,263
Health Facility,Azad Kashmir,Mirpur,4,BHU Rajdhani Sohana,264
Health Facility,Azad Kashmir,Mirpur,4,BHU Sairi,265
Health Facility,Azad Kashmir,Mirpur,4,BHU Sandhara,266
Health Facility,Azad Kashmir,Mirpur,4,BHU Sehrmandi,267
Health Facility,Azad Kashmir,Mirpur,4,BHU Tarkundi,268
Health Facility,Azad Kashmir,Mirpur,4,CD Bari Ghora,269
Health Facility,Azad Kashmir,Mirpur,4,CD Binpain,270
Health Facility,Azad Kashmir,Mirpur,4,CD Dhanwan,271
Health Facility,Azad Kashmir,Mirpur,4,CD EPI Prahi,272
Health Facility,Azad Kashmir,Mirpur,4,CD Ghian,273
Health Facility,Azad Kashmir,Mirpur,4,CD Hq Kotli,274
Health Facility,Azad Kashmir,Mirpur,4,CD Juna,275
Health Facility,Azad Kashmir,Mirpur,4,CD Kailah,276
Health Facility,Azad Kashmir,Mirpur,4,CD Khore,277
Health Facility,Azad Kashmir,Mirpur,4,CD Panjerra,278
Health Facility,Azad Kashmir,Mirpur,4,CD Plani,279
Health Facility,Azad Kashmir,Mirpur,4,CD Tarala,280
Health Facility,Azad Kashmir,Mirpur,4,DHQ Hosp Kotli,281
Health Facility,Azad Kashmir,Mirpur,4,Fap Anotri Sarhota,282
Health Facility,Azad Kashmir,Mirpur,4,Fap Bagaha,283
Health Facility,Azad Kashmir,Mirpur,4,Fap Sarhuta Qummer,284
Health Facility,Azad Kashmir,Mirpur,4,RHC CHowk Saiban,285
Health Facility,Azad Kashmir,Mirpur,4,RHC Khuiratta,286
Health Facility,Azad Kashmir,Mirpur,4,RHC Nar,289
Health Facility,Azad Kashmir,Mirpur,4,RHC Sarsawa,290
Health Facility,Azad Kashmir,Mirpur,4,RHC Tatta Pani,291
Health Facility,Azad Kashmir,Mirpur,4,THQ Hosp,292
Health Facility,Azad Kashmir,Mirpur,4,THQ Hosp CHarohi,295
Health Facility,Azad Kashmir,Mirpur,4,THQ Nakyal,298
Health Facility,Azad Kashmir,Mirpur,4,THQ Nakyal Tc,300
District,Azad Kashmir,Mirpur,3,Kotli District Store,301
Health Facility,Azad Kashmir,Mirpur,4,ADHO Office Dadyal,322
Health Facility,Azad Kashmir,Muzaffarabad,4,BHU Badar Bance,332
Health Facility,Azad Kashmir,Muzaffarabad,4,BHU Bahari,333
Health Facility,Azad Kashmir,Muzaffarabad,4,BHU Bangrila,334
Health Facility,Azad Kashmir,Muzaffarabad,4,BHU Bohoa,335
Health Facility,Azad Kashmir,Muzaffarabad,4,BHU Dagar,337
Health Facility,Azad Kashmir,Muzaffarabad,4,BHU Essar,338
Health Facility,Azad Kashmir,Muzaffarabad,4,BHU Jatlan,339
Health Facility,Azad Kashmir,Muzaffarabad,4,BHU Kanaily,340
Health Facility,Azad Kashmir,Muzaffarabad,4,BHU Kara Town,343
Health Facility,Azad Kashmir,Muzaffarabad,4,BHU Kathar,344
Health Facility,Azad Kashmir,Muzaffarabad,4,BHU Khalial Abad,345
Health Facility,Azad Kashmir,Muzaffarabad,4,BHU Kharak,346
Health Facility,Azad Kashmir,Muzaffarabad,4,BHU Mattri,347
Health Facility,Azad Kashmir,Muzaffarabad,4,BHU Panyam,348
Health Facility,Azad Kashmir,Muzaffarabad,4,BHU Ratta,350
Health Facility,Azad Kashmir,Muzaffarabad,4,BHU Safgala Himlat,352
Health Facility,Azad Kashmir,Muzaffarabad,4,BHU Samwal Sharif,354
Health Facility,Azad Kashmir,Muzaffarabad,4,BHU Siakh,356
Health Facility,Azad Kashmir,Muzaffarabad,4,BHU Sorakhi,357
Health Facility,Azad Kashmir,Muzaffarabad,4,CD CHatroh,360
Health Facility,Azad Kashmir,Muzaffarabad,4,CD Raipur,361
Health Facility,Azad Kashmir,Muzaffarabad,4,EPI Center BHU Khaman,362
Health Facility,Azad Kashmir,Muzaffarabad,4,EPI Center CD CHitter Pari,363
Health Facility,Azad Kashmir,Muzaffarabad,4,EPI Center Dho Office,364
Health Facility,Azad Kashmir,Muzaffarabad,4,EPI Center DHQ Hosp,365
Health Facility,Azad Kashmir,Muzaffarabad,4,MCH C 4,366
Health Facility,Azad Kashmir,Muzaffarabad,4,New City TeCHing Hosp,369
Health Facility,Azad Kashmir,Muzaffarabad,4,RHC Chakswari,370
Health Facility,Azad Kashmir,Muzaffarabad,4,RHC Islam Gharh,371
Health Facility,Azad Kashmir,Muzaffarabad,4,RHC Khadim Abad,372
Health Facility,Azad Kashmir,Muzaffarabad,4,RHC Pindi Suberwal,373
Health Facility,Azad Kashmir,Muzaffarabad,4,THQ Hosp Dadyal,375
District,Azad Kashmir,Muzaffarabad,3,Mirpur District Store,376
Health Facility,Azad Kashmir,Muzaffarabad,4,Aims Muzaffarabad,383
Health Facility,Azad Kashmir,Neelum,4,BHU Anwar Shareef,384
Health Facility,Azad Kashmir,Neelum,4,BHU Awan Patti,385
Health Facility,Azad Kashmir,Neelum,4,BHU Barakot,386
Health Facility,Azad Kashmir,Neelum,4,BHU Bheri,387
Health Facility,Azad Kashmir,Neelum,4,BHU Butdara,389
Health Facility,Azad Kashmir,Neelum,4,BHU Buttel,392
Health Facility,Azad Kashmir,Neelum,4,BHU CHarak Pura,393
Health Facility,Azad Kashmir,Neelum,4,BHU CHatter Klass,394
Health Facility,Azad Kashmir,Neelum,4,BHU City,395
Health Facility,Azad Kashmir,Neelum,4,BHU DouCHar Miran,396
Health Facility,Azad Kashmir,Neelum,4,BHU Kohala,397
Health Facility,Azad Kashmir,Neelum,4,BHU Komi Kot,398
Health Facility,Azad Kashmir,Neelum,4,BHU Konkan,400
Health Facility,Azad Kashmir,Neelum,4,BHU Kot Tarhak,401
Health Facility,Azad Kashmir,Neelum,4,BHU Kund Banda,402
Health Facility,Azad Kashmir,Neelum,4,BHU Langarpura,403
Health Facility,Azad Kashmir,Neelum,4,BHU Lumianpattian,404
Health Facility,Azad Kashmir,Neelum,4,BHU Mera Sro,405
Health Facility,Azad Kashmir,Neelum,4,BHU Naran Shareef,406
Health Facility,Azad Kashmir,Neelum,4,BHU Noorpur Nakran,407
Health Facility,Azad Kashmir,Neelum,4,BHU Pagwan Dopatta,408
Health Facility,Azad Kashmir,Neelum,4,BHU Pattika,409
Health Facility,Azad Kashmir,Neelum,4,BHU Rahim Kot,413
Health Facility,Azad Kashmir,Neelum,4,BHU Rajpeian,414
Health Facility,Azad Kashmir,Neelum,4,BHU Said Pur,415
Health Facility,Azad Kashmir,Neelum,4,BHU Sarar,416
Health Facility,Azad Kashmir,Neelum,4,BHU Sawan,417
Health Facility,Azad Kashmir,Neelum,4,BHU Soni Kot,418
Health Facility,Azad Kashmir,Neelum,4,BHU Tambi Bana,419
Health Facility,Azad Kashmir,Neelum,4,BHU Tandali,421
Health Facility,Azad Kashmir,Neelum,4,BHU Upper CHatar,422
Health Facility,Azad Kashmir,Neelum,4,CD Dulai,423
Health Facility,Azad Kashmir,Neelum,4,CD Haryala,424
Health Facility,Azad Kashmir,Neelum,4,CD Hotarpari Muzaffarabad,425
Health Facility,Azad Kashmir,Neelum,4,CD MaCHiara,426
Health Facility,Azad Kashmir,Neelum,4,Fap Bugna,427
Health Facility,Azad Kashmir,Neelum,4,Fap CHamar Bandi,428
Health Facility,Azad Kashmir,Neelum,4,Fap CHaroota,429
Health Facility,Azad Kashmir,Neelum,4,Fap NalooCHi,430
Health Facility,Azad Kashmir,Neelum,4,Fap Rara,431
Health Facility,Azad Kashmir,Neelum,4,Fap Thangor,432
Health Facility,Azad Kashmir,Neelum,4,MCH CHala Bandi,433
Health Facility,Azad Kashmir,Neelum,4,MCH Kaklot,435
Health Facility,Azad Kashmir,Neelum,4,MCH Muzaffarabad,436
Health Facility,Azad Kashmir,Neelum,4,Paf Kappabat,437
Health Facility,Azad Kashmir,Neelum,4,Paf Tahrian,438
Health Facility,Azad Kashmir,Neelum,4,RHC Dana,439
Health Facility,Azad Kashmir,Neelum,4,RHC Gari Dopatta,441
Health Facility,Azad Kashmir,Neelum,4,RHC Kahori,442
District,Azad Kashmir,Neelum,3,Muzaffarabad District Store,444
Health Facility,Azad Kashmir,Neelum,4,BHU Ashkot,464
Health Facility,Azad Kashmir,Poonch,4,BHU Bata,465
Health Facility,Azad Kashmir,Poonch,4,BHU CHalyana,466
Health Facility,Azad Kashmir,Poonch,4,BHU CHangan,468
Health Facility,Azad Kashmir,Poonch,4,BHU Dawarian,470
Health Facility,Azad Kashmir,Poonch,4,BHU Dodunal,471
Health Facility,Azad Kashmir,Poonch,4,BHU Domail,473
Health Facility,Azad Kashmir,Poonch,4,BHU Gewai,474
Health Facility,Azad Kashmir,Poonch,4,BHU Halmat,476
Health Facility,Azad Kashmir,Poonch,4,BHU Jangran,477
Health Facility,Azad Kashmir,Poonch,4,BHU Kutan,478
Health Facility,Azad Kashmir,Poonch,4,BHU Lawat Bala,479
Health Facility,Azad Kashmir,Poonch,4,BHU Leswan,482
Health Facility,Azad Kashmir,Poonch,4,BHU Mirpur,483
Health Facility,Azad Kashmir,Poonch,4,BHU Neelum,486
Health Facility,Azad Kashmir,Poonch,4,BHU Surgan,488
Health Facility,Azad Kashmir,Poonch,4,CD Pullawai,490
Health Facility,Azad Kashmir,Poonch,4,DHQ Neelum,491
Health Facility,Azad Kashmir,Poonch,4,RHC Sharda,492
Health Facility,Azad Kashmir,Poonch,4,THQ Kail,496
District,Azad Kashmir,Poonch,3,Neelum District Store,498
Health Facility,Azad Kashmir,Poonch,4,BHU Bangoin,507
Health Facility,Azad Kashmir,Sudhnati,4,BHU Bhalgran,508
Health Facility,Azad Kashmir,Sudhnati,4,BHU Center KhoreCHana,509
Health Facility,Azad Kashmir,Sudhnati,4,BHU CHaffar,510
Health Facility,Azad Kashmir,Sudhnati,4,BHU Datote,511
Health Facility,Azad Kashmir,Sudhnati,4,BHU Davi Gali,512
Health Facility,Azad Kashmir,Sudhnati,4,BHU Desah Phagwati,514
Health Facility,Azad Kashmir,Sudhnati,4,BHU EPI Center CHottagala,515
Health Facility,Azad Kashmir,Sudhnati,4,BHU EPI Center Dhamni,516
Health Facility,Azad Kashmir,Sudhnati,4,BHU EPI Center Hussain Kot,517
Health Facility,Azad Kashmir,Sudhnati,4,BHU EPI Center Jandali,518
Health Facility,Azad Kashmir,Sudhnati,4,BHU EPI Center Khaigala,519
Health Facility,Azad Kashmir,Sudhnati,4,BHU EPI Center Sarari,520
Health Facility,Azad Kashmir,Sudhnati,4,BHU EPI Pothi Makwalan,521
Health Facility,Azad Kashmir,Sudhnati,4,BHU Hurna Mera,522
Health Facility,Azad Kashmir,Sudhnati,4,BHU Khali Dermin,524
Health Facility,Azad Kashmir,Sudhnati,4,BHU Kotera,525
Health Facility,Azad Kashmir,Sudhnati,4,BHU Mondhole,526
Health Facility,Azad Kashmir,Sudhnati,4,BHU Moreearman Shah,527
Health Facility,Azad Kashmir,Sudhnati,4,BHU Namnoota,528
Health Facility,Azad Kashmir,Sudhnati,4,BHU PaCHion,529
Health Facility,Azad Kashmir,Sudhnati,4,BHU Pothic CHaprian,530
Health Facility,Azad Kashmir,Sudhnati,4,BHU Rakker,531
Health Facility,Azad Kashmir,Sudhnati,4,BHU Rehara,532
Health Facility,Azad Kashmir,Sudhnati,4,BHU Sahrra,533
Health Facility,Azad Kashmir,Sudhnati,4,BHU Singola,534
Health Facility,Azad Kashmir,Sudhnati,4,BHU Soon Topo,535
Health Facility,Azad Kashmir,Sudhnati,4,BHU Tanda Ghambir,536
Health Facility,Azad Kashmir,Sudhnati,4,BHU Tatrinot,537
Health Facility,Azad Kashmir,Sudhnati,4,BHU Thorar,539
Health Facility,Azad Kashmir,Sudhnati,4,CMH  S K B Zahid,540
Health Facility,Azad Kashmir,Sudhnati,4,Dho EPI Center,541
Health Facility,Azad Kashmir,Sudhnati,4,EPI Center Fap Banback,542
Health Facility,Azad Kashmir,Sudhnati,4,Fap Barrien,543
Health Facility,Azad Kashmir,Sudhnati,4,MCH Center Sahar Kakota,544
Health Facility,Azad Kashmir,Sudhnati,4,RHC Abbas Pur,546
Health Facility,Azad Kashmir,Sudhnati,4,RHC EPI Center Ali Sojel,550
Health Facility,Azad Kashmir,Sudhnati,4,RHC EPI Center Banjosa,551
Health Facility,Azad Kashmir,Sudhnati,4,RHC Panaiola,552
Health Facility,Azad Kashmir,Sudhnati,4,RHC Tain,554
Health Facility,Azad Kashmir,Sudhnati,4,THQ EPI Center Hajira,555
District,Azad Kashmir,Sudhnati,3,Poonch District Store,559
Health Facility,Azad Kashmir,Sudhnati,4,Azad Patan,567
Health Facility,Balochistan,Awaran,4,BaloCH,569
Health Facility,Balochistan,Awaran,4,Barral,570
Health Facility,Balochistan,Awaran,4,Bassari Khas,572
Health Facility,Balochistan,Awaran,4,Batikh,573
Health Facility,Balochistan,Awaran,4,Batran,575
Health Facility,Balochistan,Awaran,4,CHaCHhan,577
Health Facility,Balochistan,Awaran,4,CHallar,580
Health Facility,Balochistan,Awaran,4,CHaryal,581
Health Facility,Balochistan,Awaran,4,D P M Khan,582
Health Facility,Balochistan,Awaran,4,Dengroon,584
Health Facility,Balochistan,Awaran,4,DHQ EPI Center,585
Health Facility,Balochistan,Awaran,4,Dreak Gorah,586
Health Facility,Balochistan,Awaran,4,Gala Kanta,587
Health Facility,Balochistan,Awaran,4,Garala,590
Health Facility,Balochistan,Awaran,4,Gorah,592
Health Facility,Balochistan,Awaran,4,Karamat Abad,594
Health Facility,Balochistan,Awaran,4,Mong,595
Health Facility,Balochistan,Awaran,4,Muslam Abad,597
Health Facility,Balochistan,Awaran,4,Nalian,598
Health Facility,Balochistan,Awaran,4,Nallanda,600
Health Facility,Balochistan,Awaran,4,Pana,601
Health Facility,Balochistan,Awaran,4,Panthal,603
Health Facility,Balochistan,Awaran,4,Pura,605
Health Facility,Balochistan,Awaran,4,Qullan,606
Health Facility,Balochistan,Awaran,4,Sher Basota,607
Health Facility,Balochistan,Awaran,4,Tahlian,608
Health Facility,Balochistan,Awaran,4,Tarar Khal,610
Health Facility,Balochistan,Awaran,4,THQ Vaccine Store,613
District,Balochistan,Awaran,3,Sudnuti District Store,618
Health Facility,Balochistan,Awaran,4,BHU Awaran,632
Health Facility,Balochistan,Dera Bugti,4,BHU Gishorke,633
Health Facility,Balochistan,Dera Bugti,4,BHU Nokioh,637
Health Facility,Balochistan,Dera Bugti,4,DHQ Awaran,638
Health Facility,Balochistan,Dera Bugti,4,RHC Jahoo,640
Health Facility,Balochistan,Dera Bugti,4,RHC Masheay,643
District,Balochistan,Dera Bugti,3,Awaran District Store,647
Health Facility,Balochistan,Dera Bugti,4,BHU Eshani,656
Health Facility,Balochistan,Dera Bugti,4,BHU Rakhni,657
Health Facility,Balochistan,Dera Bugti,4,CD Naharkot,658
Health Facility,Balochistan,Dera Bugti,4,CD Sadrani,659
Health Facility,Balochistan,Dera Bugti,4,DHQ Hosp Barkhan,660
District,Balochistan,Dera Bugti,3,Barkhan District Store,661
Health Facility,Balochistan,Dera Bugti,4,BHU CHander,667
Health Facility,Balochistan,Dera Bugti,4,BHU Jalbani,668
Health Facility,Balochistan,Dera Bugti,4,BHU Kirta,669
Health Facility,Balochistan,Dera Bugti,4,BHU Kolpur,670
Health Facility,Balochistan,Dera Bugti,4,BHU Masso,671
Health Facility,Balochistan,Dera Bugti,4,BHU Mushkaf,672
Health Facility,Balochistan,Dera Bugti,4,BHU Shehbaz Khan,673
Health Facility,Balochistan,Dera Bugti,4,BHU Sunni,674
Health Facility,Balochistan,Dera Bugti,4,CD Ghazi,675
Health Facility,Balochistan,Dera Bugti,4,CH Bagh,676
Health Facility,Balochistan,Dera Bugti,4,CH MaCH,678
Health Facility,Balochistan,Dera Bugti,4,DHQ Dahar,680
Health Facility,Balochistan,Dera Bugti,4,RHC CHalgari,681
Health Facility,Balochistan,Dera Bugti,4,RHC Haji Shahi,682
Health Facility,Balochistan,Dera Bugti,4,RHC Kattan,684
Health Facility,Balochistan,Dera Bugti,4,RHC Mitheri,685
District,Balochistan,Dera Bugti,3,Bolan District Store,687
Health Facility,Balochistan,Dera Bugti,4,BHU Padga,705
Health Facility,Balochistan,Dera Bugti,4,BHU Taftan,706
Health Facility,Balochistan,Dera Bugti,4,DHQ Hosp Dalbadin,707
Health Facility,Balochistan,Dera Bugti,4,RHC CHagai Village,708
Health Facility,Balochistan,Dera Bugti,4,RHC Nokundi,710
District,Balochistan,Dera Bugti,3,Chaghai District Store,711
Health Facility,Balochistan,Dera Bugti,4,BHU Malom,722
Health Facility,Balochistan,Dera Bugti,4,BHU Patra,723
Health Facility,Balochistan,Dera Bugti,4,BHU Petok,724
Health Facility,Balochistan,Dera Bugti,4,BHU Uc Dera Bugti,725
Health Facility,Balochistan,Dera Bugti,4,CD Disp Sham KulCHas,726
Health Facility,Balochistan,Dera Bugti,4,DHQ Hosp Dbugti,727
Health Facility,Balochistan,Dera Bugti,4,MCH Center Sui,729
Health Facility,Balochistan,Dera Bugti,4,RHC Bakar,730
District,Balochistan,Dera Bugti,3,Dbugti District Store,732
Health Facility,Balochistan,Gwadar,4,BHU Jatti Dour,742
Health Facility,Balochistan,Gwadar,4,BHU Kalato,743
Health Facility,Balochistan,Gwadar,4,BHU Nihint,744
