Admin 1,Admin 2,Admin 3,Facility,Facility Type,Catchment,Latitude,Longitude,UID
Azad Kashmir,Muzaffarabad,Pattika,Panjkot,Bhu,"22,000",34.347872,73.722673,154
Azad Kashmir,Muzaffarabad,Pattika,Machiara,Bhu,"9,340",34.489651,73.578258,155
Azad Kashmir,Muzaffarabad,Muzaffarabad,Chattar Klass,Bhu,"14,667",34.130224,73.499459,156
Azad Kashmir,Muzaffarabad,Muzaffarabad,Chattar Klass,Bhu,"10,483",34.258821,73.490671,157
Azad Kashmir,Muzaffarabad,Pattika,Behri,Bhu,"26,997",34.525388,73.572985,158
Azad Kashmir,Muzaffarabad,Pattika,Kahori,Bhu,"52,200",34.458893,73.440287,159
Azad Kashmir,Muzaffarabad,Pattika,Machiara,Bhu,"12,732",34.512206,73.622783,160
Azad Kashmir,Muzaffarabad,Muzaffarabad,Chattar Klass,Bhu,"7,881",34.249154,73.478075,161
Azad Kashmir,Muzaffarabad,Muzaffarabad,Kaimanja,Bhu,"10,370",34.232457,73.697188,162
Azad Kashmir,Muzaffarabad,Muzaffarabad,Hatian Dupatta,Bhu,"8,115",34.255599,73.646511,163
Azad Kashmir,Muzaffarabad,Muzaffarabad,Hatian Dupatta,Bhu,"10,804",34.216932,73.637723,164
Azad Kashmir,Muzaffarabad,Muzaffarabad,Langer Pura,Bhu,"10,935",34.243296,73.69543,165
Azad Kashmir,Muzaffarabad,Muzaffarabad,Tandali,Bhu,"4,000",34.30221,73.53871,166
Azad Kashmir,Muzaffarabad,Muzaffarabad,Langer Pura,Bhu,"17,630",34.290165,73.568298,167
Azad Kashmir,Muzaffarabad,Muzaffarabad,Hatian Dupatta,Bhu,"8,748",34.28399,73.63556,168
Azad Kashmir,Muzaffarabad,Muzaffarabad,Langer Pura,Bhu,"25,000",34.321508,73.539884,169
Azad Kashmir,Muzaffarabad,Pattika,Panjgran,Bhu,"19,110",34.487307,73.619854,170
Azad Kashmir,Muzaffarabad,Muzaffarabad,Gojra,Bhu,"8,220",34.371014,73.408944,171
Azad Kashmir,Muzaffarabad,Muzaffarabad,Charak Pura,Bhu,"7,000",34.286942,73.526995,172
Azad Kashmir,Muzaffarabad,Muzaffarabad,Charak Pura,Bhu,"11,700",34.124951,73.636844,173
Azad Kashmir,Muzaffarabad,Muzaffarabad,Noora Sari,Bhu,"9,604",34.397377,73.514692,174
Azad Kashmir,Muzaffarabad,Muzaffarabad,Her Kootli,Bhu,"4,150",34.432529,73.468116,175
Azad Kashmir,Muzaffarabad,Pattika,Said Pur,Bhu,"18,334",34.493752,73.490964,176
Azad Kashmir,Muzaffarabad,Muzaffarabad,Jand Gran,Bhu,"15,494",34.622934,73.767784,177
Azad Kashmir,Muzaffarabad,Muzaffarabad,Qomi Kot,Bhu,"44,145",34.204629,73.58851,178
Azad Kashmir,Muzaffarabad,Muzaffarabad,Danna,Rhc,"38,285",34.303932,73.507368,179
Azad Kashmir,Muzaffarabad,Muzaffarabad,Ghari Dupatta,Rhc,"48,486",34.230992,73.620733,180
Azad Kashmir,Muzaffarabad,Pattika,Kahori,Rhc,"60,000",34.368084,73.692794,181
Azad Kashmir,Muzaffarabad,Pattika,Balgran,Rhc,"40,000",34.141941,73.527874,182
Azad Kashmir,Poonch,Hajira,Kathera,Fap,"8,200",33.861312,73.689888,183
Azad Kashmir,Poonch,Hajira,Darikot,Fap,"6,000",33.84111,73.90692,184
Azad Kashmir,Poonch,Abbasspur,Taroti,Fap,"1,493",33.788154,74.008341,185
Azad Kashmir,Poonch,Abbasspur,Kalran,Fap,"8,389",33.830852,73.93512,186
Azad Kashmir,Poonch,Abbasspur,Andrinor,Fap,"5,824",0,0,187
Azad Kashmir,Poonch,Abbasspur,Marchakot,Fap,"6,969",33.88805,73.97295,188
Azad Kashmir,Poonch,Abbasspur,Kot Katran,Fap,"9,918",0,0,189
Azad Kashmir,Poonch,Hajira,Kanoyion Bangran,Fap,"10,950",0,0,190
Azad Kashmir,Poonch,Hajira,Darra Sher Khn,Fap,"8,574",33.624021,73.989047,191
Azad Kashmir,Poonch,Hajira,Numbal Bala,Fap,"4,450",33.90526,73.64757,192
Azad Kashmir,Poonch,Hajira,Kai Darah Surari,Fap,"8,207",33.80604,73.90014,193
Azad Kashmir,Poonch,Hajira,Kot Phagwati,Fap,"11,194",33.737073,73.872491,194
Azad Kashmir,Poonch,Hajira,Dotra,Fap,"4,550",0,0,195
Azad Kashmir,Poonch,Hajira,Sehra,Fap,"5,395",0,0,196
Azad Kashmir,Poonch,Hajira,Khrang,Fap,"14,020",0,0,197
Azad Kashmir,Poonch,Hajira,Nchorbn,Fap,"6,555",0,0,198
Azad Kashmir,Poonch,Hajira,Battle,Fap,"7,000",33.80955,74.00191,199
Azad Kashmir,Poonch,Hajira,Tahi,Fap,"13,356",33.628528,73.955837,200
Azad Kashmir,Poonch,Rawalakot,Bayrian,Fap,"13,483",0,0,201
Azad Kashmir,Poonch,Rawalakot,Pak Gali,Fap,"15,058",33.895788,73.712345,202
Azad Kashmir,Poonch,Rawalakot,Ballari,Fap,"8,371",33.877917,73.658418,203
Azad Kashmir,Poonch,Rawalakot,Batha Morah,Fap,"5,235",33.832372,73.67186,204
Azad Kashmir,Poonch,Rawalakot,Poth Bongoin,Fap,"4,419",33.939213,73.6446,205
Azad Kashmir,Poonch,Rawalakot,Patola,Fap,"8,669",0,0,206
Azad Kashmir,Poonch,Rawalakot,Nar Tain,Fap,"1,600",33.863052,73.631217,207
Azad Kashmir,Poonch,Rawalakot,Qanchikot,Fap,"1,783",0,0,208
Azad Kashmir,Poonch,Rawalakot,Kahu Kot,Fap,"11,000",33.875109,73.861203,209
Azad Kashmir,Poonch,Rawalakot,Gahi Banjosa,Fap,"3,933",0,0,210
Azad Kashmir,Poonch,Rawalakot,Rar Ban,Fap,"10,693",0,0,211
Azad Kashmir,Poonch,Rawalakot,Mori Furman Shah,Bhu,"25,741",33.914167,73.719417,212
Azad Kashmir,Poonch,Rawalakot,Bongoin,Bhu,"16,482",33.936361,73.662972,213
Azad Kashmir,Poonch,Rawalakot,Pachiot,Bhu,"6,000",33.908612,73.657143,214
Azad Kashmir,Poonch,Rawalakot,Rehara,Bhu,"19,711",33.83056,73.68278,215
Azad Kashmir,Poonch,Rawalakot,Dhamni,Bhu,"15,972",33.864361,73.792028,216
Azad Kashmir,Poonch,Rawalakot,Chotagala,Bhu,"8,676",33.815,73.805139,217
Azad Kashmir,Poonch,Rawalakot,Pothi Makwalaina,Bhu,"11,875",33.889278,73.734917,218
Azad Kashmir,Poonch,Rawalakot,Khurichana,Bhu,"6,358",33.862524,73.899732,219
Azad Kashmir,Poonch,Rawalakot,Rawlakot H/Q,Bhu,"26,772",33.854306,73.766444,220
Azad Kashmir,Poonch,Rawalakot,Singola,Bhu,"15,252",33.893833,73.794,221
Azad Kashmir,Poonch,Rawalakot,Namnota,Bhu,"11,735",33.859472,73.849083,222
Azad Kashmir,Poonch,Rawalakot,Khaigala,Bhu,"23,862",33.847056,73.8295,223
Azad Kashmir,Poonch,Abbasspur,Kahali Drammon,Bhu,"33,945",33.858167,73.965389,224
Azad Kashmir,Poonch,Abbasspur,Chaffar,Bhu,"8,738",33.81583,74.01306,225
Azad Kashmir,Poonch,Hajira,Sehra,Bhu,"12,116",33.640626,73.962479,226
Azad Kashmir,Poonch,Hajira,Tanda Ghamir,Bhu,"16,835",33.783917,73.946583,227
Azad Kashmir,Poonch,Hajira,Mandhol,Bhu,"20,863",33.677417,73.960278,228
Azad Kashmir,Poonch,Hajira,Davi Gali,Bhu,"13,584",33.77313,73.854942,229
Azad Kashmir,Poonch,Hajira,Sirani,Bhu,"12,335",0,0,230
Azad Kashmir,Poonch,Hajira,Rakkar,Bhu,"15,862",33.705722,73.917111,231
Azad Kashmir,Poonch,Hajira,Tatrinote,Bhu,"13,391",33.761208,73.664902,232
Azad Kashmir,Poonch,Hajira,Pothi Chaprian,Bhu,"15,000",33.81722,73.875,233
Azad Kashmir,Poonch,Rawalakot,Jandala,Bhu,"9,214",33.956278,73.631333,234
Azad Kashmir,Poonch,Rawalakot,Thorar,Bhu,"13,380",33.84917,73.64111,235
Azad Kashmir,Poonch,Rawalakot,Khotara,Bhu,"6,378",33.861312,73.689888,236
Azad Kashmir,Poonch,Rawalakot,Datote,Bhu,"8,000",33.903972,73.670389,237
Azad Kashmir,Poonch,Rawalakot,Hurnamara,Bhu,"18,145",33.877127,73.704596,238
Azad Kashmir,Poonch,Rawalakot,Bhalgran,Bhu,"4,560",33.849806,73.60806,239
Azad Kashmir,Poonch,Rawalakot,Dahal Kot,Bhu,"3,733",33.916707,73.617469,240
Azad Kashmir,Poonch,Abbasspur,Abbaspur,Rhc,"91,130",33.812361,73.978611,241
Azad Kashmir,Poonch,Rawalakot,Tain,Rhc,"3,993",33.901222,73.611722,242
Azad Kashmir,Poonch,Hajira,Hajira,Rhc,"245,000",33.770778,73.89575,243
Azad Kashmir,Poonch,Rawalakot,Paniola,Rhc,"24,063",33.919639,73.687139,244
Azad Kashmir,Poonch,Rawalakot,Ali Sojal,Rhc,"13,249",33.869611,73.87875,245
Azad Kashmir,Poonch,Rawalakot,Banjosa,Rhc,"12,456",33.796222,73.796361,246
Azad Kashmir,Sudhnati,Mong,Kanchary,Fap,"3,900",33.820195,73.644659,247
Azad Kashmir,Sudhnati,Balooch,Bathak,Fap,"15,513",33.692574,73.804226,248
Azad Kashmir,Sudhnati,Balooch,Manghri,Fap,"2,454",0,0,249
Azad Kashmir,Sudhnati,Balooch,Kahala,Fap,"15,005",0,0,250
Azad Kashmir,Sudhnati,Balooch,Talawari,Fap,"3,000",33.677392,73.769276,251
Azad Kashmir,Sudhnati,Palandri,Nakar,Fap,"5,172",33.719458,73.723415,252
Azad Kashmir,Sudhnati,Palandri,Sehar Hawal Kot,Fap,"5,958",33.687197,73.732429,253
Azad Kashmir,Sudhnati,Palandri,Numb Dhar,Fap,"4,130",33.677234,73.66079,254
Azad Kashmir,Sudhnati,Palandri,Pir Gali,Fap,"2,037",33.743179,73.73749,255
Azad Kashmir,Sudhnati,Palandri,Kot Kotli,Fap,"4,175",0,0,256
Azad Kashmir,Sudhnati,Palandri,Dana Panthal,Fap,"2,468",33.596106,73.714875,257
Azad Kashmir,Sudhnati,Mong,Islam Nager,Fap,"3,519",33.785245,73.57476,258
Azad Kashmir,Sudhnati,Palandri,Islam Pura,Cd/Gd,"3,400",33.666322,73.670121,259
Azad Kashmir,Sudhnati,Balooch,Gala Kan,Cd/Gd,"12,935",0,0,260
Azad Kashmir,Sudhnati,Balooch,Nallain,Cd/Gd,"10,580",33.684983,73.753146,261
Azad Kashmir,Sudhnati,Balooch,Qillan,Cd/Gd,"11,763",33.706806,73.798533,262
Azad Kashmir,Sudhnati,Palandri,Jail,Cd/Gd, -   ,33.724993,73.687358,263
Azad Kashmir,Sudhnati,Palandri,Nsary Grala,Cd/Gd,"9,100",33.789832,73.734959,264
Azad Kashmir,Sudhnati,Palandri,Dhaman Pukhnar,Cd/Gd,"7,640",33.608283,73.841864,265
Azad Kashmir,Sudhnati,Mong,Bathian,Mchc/Chc, -   ,0,0,266
Azad Kashmir,Sudhnati,Palandri,Azad Patan,Mchc/Chc, -   ,33.728472,73.607338,267
Azad Kashmir,Sudhnati,Mong,Dhingroon Bathaian,Bhu,"11,097",33.815135,73.611766,268
Azad Kashmir,Sudhnati,Mong,Challar,Bhu, -   ,33.739226,73.681507,269
Azad Kashmir,Sudhnati,Trarlkhal,Pothi Mir Khan,Bhu,"13,422",0,0,270
Azad Kashmir,Sudhnati,Palandri,Baitran,Bhu,"4,088",0,0,271
Azad Kashmir,Sudhnati,Palandri,Azad Patan,Bhu,"6,118",0,0,272
Azad Kashmir,Sudhnati,Palandri,Pona,Bhu,"8,901",0,0,273
