Admin 1,Admin 2,Admin 2,Facility,HF_Type,Latitude,Longitude,ID,
Azad Kashmir,Hattian,Hattian,Drang,FAP,0.000000,0.000000,72,
Azad Kashmir,Hattian,Hattian,Juscool,FAP,34.147612,73.836059,73,
Azad Kashmir,Hattian,Hattian,Bandi Bala,FAP,0.000000,0.000000,74,
Azad Kashmir,Hattian,Hattian,Ghel Jabra,CD/GD,34.323266,73.597298,75,
Azad Kashmir,Hattian,Hattian,Chakhama,BHU,34.176214,73.873532,76,
Azad Kashmir,Hattian,Hattian,Bani Langrial,FAP,34.113527,73.756067,77,
Azad Kashmir,Hattian,Hattian,Sana Daman,BHU,34.138426,73.773350,78,
Azad Kashmir,Hattian,Chikar,Noon Bagla,FAP,34.127881,73.665844,79,
Azad Kashmir,Hattian,Chikar,Shakrian,FAP,0.000000,0.000000,80,
Azad Kashmir,Hattian,Chikar,Andra Sari,FAP,0.000000,0.000000,81,
Azad Kashmir,Hattian,Chikar,Salmia,BHU,34.117921,73.730289,82,
Azad Kashmir,Hattian,Chikar,Chikar,RHC,34.151608,73.681955,83,
Azad Kashmir,Hattian,Hattian,Pahal,CD/GD,34.114406,73.894624,84,
Azad Kashmir,Hattian,Hattian,Gujar Bandi,FAP,34.144724,73.848731,85,
Azad Kashmir,Hattian,Hattian,Gundi Gran,BHU,34.141648,73.933290,86,
Azad Kashmir,Hattian,Hattian,Lamnian,BHU,34.233336,73.786239,87,
Azad Kashmir,Hattian,Hattian,Sharian,BHU,34.213417,73.779502,88,
Azad Kashmir,Hattian,Hattian,Khlana,BHU,34.073981,73.883199,89,
Azad Kashmir,Hattian,Hattian,Chakothi,RHC,34.118507,73.798249,90,
Azad Kashmir,Hattian,Hattian,Hattian,RHC,34.172992,73.742592,91,
Azad Kashmir,Haveli,Havali,Khawaja Bandi,CD/GD,34.028501,74.081643,92,
Azad Kashmir,Haveli,Havali,Bhedi,BHU,0.000000,0.000000,93,
Azad Kashmir,Haveli,Havali,Changal,BHU,33.869778,74.134028,94,
Azad Kashmir,Haveli,Havali,Khurshid Abad,RHC,33.870278,74.126972,95,
Azad Kashmir,Haveli,Havali,Rainkari Khas,FAP,33.869260,74.105980,96,
Azad Kashmir,Haveli,Havali,Hillan,CD/GD,33.911124,74.106081,97,
Azad Kashmir,Haveli,Havali,Jabri haji Pir,FAP,0.000000,0.000000,98,
Azad Kashmir,Haveli,Havali,Dagwar,BHU,33.832500,74.080560,99,
Azad Kashmir,Haveli,Havali,Soli,CD/GD,33.903163,74.135518,100,
Azad Kashmir,Haveli,Havali,Hallen Shumali,BHU,33.926676,74.093121,101,
Azad Kashmir,Haveli,Khurshid Abad,Kalamula,BHU,33.942435,74.162409,102,
Azad Kashmir,Haveli,Havali,Mandhar,CD/GD,33.854680,74.166019,103,
Azad Kashmir,Haveli,Havali,Naga Nari,CD/GD,33.928157,74.040357,104,
Azad Kashmir,Haveli,Havali,Serian,CD/GD,33.833575,74.057714,105,
Azad Kashmir,Haveli,Havali,Tongri,BHU,33.854167,74.075556,106,
Azad Kashmir,Haveli,Havali,Bahta Kot,BHU,33.911778,74.006139,107,
Azad Kashmir,Haveli,Havali,Palangi,FAP,0.000000,0.000000,108,
Azad Kashmir,Haveli,Havali,Budhal,FAP,33.894091,74.008699,109,
Azad Kashmir,Haveli,Havali,Gugdar,BHU,33.877614,74.028509,110,
Azad Kashmir,Haveli,Havali,Kahota,RHC,33.888850,74.100630,111,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Chanal Bung,FAP,34.209210,73.525010,112,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Her Kootli,FAP,0.000000,0.000000,113,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Noora Sari,FAP,0.000000,0.000000,114,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Charak Pura,FAP,34.269120,73.558500,115,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Charak Pura,FAP,34.323150,73.490640,116,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Ghari Dupatta,FAP,34.229167,73.620833,117,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Kaimanja,FAP,34.245350,73.687140,118,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Heer Kotli,FAP,0.000000,0.000000,119,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Chattar Klass,FAP,0.000000,0.000000,120,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Muzaffarabad,FAP,34.240250,73.621010,121,
Azad Kashmir,Muzaffarabad,Pattika,Sarli Suca,FAP,0.000000,0.000000,122,
Azad Kashmir,Muzaffarabad,Pattika,Panjgran,FAP,34.415246,73.617511,123,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Mera Kalan,FAP,0.000000,0.000000,124,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Gojra,FAP,34.358353,73.442559,125,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Danna,FAP,34.917904,74.215383,126,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Gojra,FAP,34.406590,73.432290,127,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Sangri Mera,FAP,0.000000,0.000000,128,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Muzaffarabad,FAP,34.357307,73.475969,129,
Azad Kashmir,Muzaffarabad,Pattika,Sarli Suca,FAP,34.453034,73.652369,130,
Azad Kashmir,Muzaffarabad,Pattika,Sarli Suca,FAP,34.459772,73.597005,131,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Gojra,FAP,0.000000,0.000000,132,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Therian,FAP,34.242620,73.537520,133,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Komi kot,CD/GD,34.201000,73.590140,134,
Azad Kashmir,Muzaffarabad,Pattika,Telgran,CD/GD,34.477940,73.469780,135,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Muzaffarabad,CD/GD,34.357307,73.475969,136,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Kaimanja,CD/GD,34.245350,73.687140,137,
Azad Kashmir,Muzaffarabad,MUZAFFARABAD,Gojra,CD/GD,34.358981,73.468436,138,
